STA,lat,lon,n_arrivals
ARSA,47.2505,15.5232,138
GHAJ,31.3034,35.5665,137
RST,29.5003,46.9972,136
KEV,69.7553,27.0067,136
KARP,35.5472,27.1612,135
NJ2,32.0517,118.8540,135
BHD,33.2700,44.3800,134
QRN,28.7444,47.9177,134
NCK,43.4955,43.5956,134
SCRK,63.9769,-143.9859,133
GYA,26.4586,106.6640,132
KSP,50.8428,16.2931,132
ESK,55.3167,-3.2050,132
MARD,37.3139,40.7789,131
WLF,49.6646,6.1526,131
ARA0,69.5349,25.5059,130
IBDR,33.1100,45.9300,130
IBZA,34.4696,47.8605,129
QSPA,-89.9279,145.0000,129
SANT,36.3710,25.4590,129
DRK,39.4776,71.7995,129
GZR,45.3933,22.7767,129
CHTH,35.9080,51.1260,129
BORK,53.0461,70.3184,128
SRVN,27.4034,62.3982,128
TBLG,41.7309,44.7382,128
SFJD,66.9960,-50.6215,126
NSR,31.0100,46.1400,126
SNQR,34.8578,47.6280,126
NBO00,61.0307,10.7777,125
IUG,42.1470,70.0310,125
NACGM,54.9037,26.7830,123
CHVC,50.5881,16.0547,123
SIRT,37.5011,42.4392,121
ISFR,37.0538,58.0000,121
TKM2,42.9208,75.5966,121
BIZ,46.9392,26.1042,121
MDUB,40.4711,31.1976,120
ZAA1,53.9524,84.8190,120
KARS,40.6276,43.0788,120
KDAK,57.7828,-152.5835,119
BOD,57.8189,114.0039,119
UZH,48.6310,22.2930,119
TSUM,-19.2022,17.5838,119
TLCR,45.1861,28.8150,119
BUR31,47.6440,25.2002,118
IKRK,35.4000,44.3400,118
SPA0,78.1777,16.3700,118
KRUC,49.0619,16.3952,118
MORH,46.2149,18.6435,118
FFC,54.7250,-101.9780,118
PABE,55.5052,23.9680,117
PSI,2.8010,98.9240,117
MK01,46.7700,82.3003,116
PDGK,43.3290,79.4900,116
APA,67.5690,33.4051,116
ABPO,-19.0174,47.2275,116
MCK,63.7323,-148.9349,114
GOPC,49.9140,14.7870,114
NEY,43.2489,42.7222,114
TOA1,13.1529,1.6919,112
CN2,43.8014,125.4480,112
IALA,36.0829,52.8099,111
IBND,27.4489,56.5399,111
SOKA,46.6780,15.0327,111
A36M,71.9871,-125.2472,111
HRFI,30.0364,35.0370,111
PVCC,50.5282,14.5689,110
BORA,39.8801,30.4534,109
BFO,48.3301,8.3296,108
ARPR,39.0929,38.3356,108
KECS,48.4832,20.4856,107
SNJK,35.4303,47.0821,107
KSH2,39.1453,75.5662,107
FURI,8.8967,38.6783,107
HGHA,35.4880,48.8569,107
ZRDN,30.9675,56.5356,105
OSTC,50.5565,16.2156,105
HARR,44.6900,27.9310,105
NKC,50.2331,12.4479,105
IGZV,36.3859,50.2184,105
BR231,39.8417,32.7760,104
IMAR,65.9835,-153.7491,103
GAZ,37.1721,37.2113,102
EZN,39.8258,26.3253,102
ZAK,50.3819,103.2806,102
MZN1,28.0597,54.6518,102
MDVR,44.7815,21.7128,101
SCO,70.4833,-21.9500,101
ULM,50.2497,-95.8750,101
GRFO,49.6909,11.2203,101
MVO,41.1644,-7.0289,100
BMAR,67.4291,-144.5806,100
SONA0,47.8347,106.3950,99
JAVC,48.8591,17.6707,99
BTHS,24.0459,50.8460,99
CM31,18.4575,98.9429,99
QIZ,19.0294,109.8430,98
CRVS,48.9022,21.4614,98
PKIN,27.5770,85.3965,98
AAA,43.2090,76.9150,98
KUU,43.8930,76.3390,98
DANN,28.3500,83.7600,97
UZB,43.1470,79.0220,97
GOF,45.0580,43.0430,97
EKS2,42.6615,73.7772,96
NC204,61.2759,10.7629,96
NC303,61.2251,11.3690,96
BOQSS,25.8689,49.3758,95
